Total weight (Kg): 9119.58
Total solution time: 12975.99



i     x(cm^2)   x(in^2)     q        sigma sigma/(gamma*x) Euler_slcak  x_hat   q_Euler  q_yield 
243    10.00    1.550   -0.217    -0.02         -0.9909   0.0002 1231.813   -0.219  -27.000  *
244    10.00    1.550   12.441     1.24         51.0752        -        -        -   27.000  
245     0.25    0.039    0.080     0.32        578.6929        -        -        -    0.675  
246    75.00   11.625  -12.542    -0.17         -0.9113   0.0163 1103.433  -13.764 -202.500  *
247     0.25    0.039    0.031     0.12        206.4401        -        -        -    0.675  
248     5.00    0.775    2.687     0.54         40.1060        -        -        -   13.500  
249     5.00    0.775    2.829     0.57         46.9123        -        -        -   13.500  
250     0.25    0.039    0.026     0.11        157.2283        -        -        -    0.675  
251     5.00    0.775    0.703     0.14         10.6547        -        -        -   13.500  
252     0.25    0.039    0.122     0.49        658.3163        -        -        -    0.675  
253    15.00    2.325   -0.428    -0.03         -0.7173   0.0112 1018.139   -0.597  -40.500  *
254     0.25    0.039    0.137     0.55        737.3128        -        -        -    0.675  
255    10.00    1.550    5.715     0.57         19.6127        -        -        -   27.000  
256     0.25    0.039    0.052     0.21        254.5530        -        -        -    0.675  
257    45.00    6.975   -5.038    -0.11         -0.8501   0.0197  922.506   -5.927 -121.500  *
258     1.00    0.155    0.574     0.57        174.1931        -        -        -    2.700  
259    10.00    1.550   12.023     1.20         37.2266        -        -        -   27.000  
260    75.00   11.625  -19.859    -0.26         -0.9658   0.0094  738.611  -20.562 -202.500  *
261    85.00   13.175  -23.159    -0.27         -0.9883   0.0032  832.462  -23.434 -229.500  *
262    10.00    1.550    9.325     0.93         25.4032        -        -        -   27.000  
263    15.00    2.325   22.942     1.53         28.3663        -        -        -   40.500  
264    80.00   12.400  -23.470    -0.29         -0.8967   0.0338  660.190  -26.174 -216.000  *
265    90.00   13.950  -29.229    -0.32         -0.9997   0.0001  748.007  -29.238 -243.000  *
266    10.00    1.550   17.484     1.75         42.5767        -        -        -   27.000  
267    10.00    1.550   24.190     2.42         60.1916        -        -        -   27.000  
268    95.00   14.725  -41.354    -0.44         -0.9969   0.0014  587.387  -41.485 -256.500  *
269   150.00   23.250  -56.227    -0.37         -0.6193   0.2304  669.140  -90.788 -405.000  *
270     5.00    0.775   11.270     2.25         97.6904        -        -        -   13.500  
271    10.00    1.550   26.390     2.64         58.4657        -        -        -   27.000  
272    80.00   12.400  -31.458    -0.39         -0.9470   0.0220  520.203  -33.218 -216.000  *
273    90.00   13.950  -33.743    -0.37         -0.9193   0.0329  595.863  -36.703 -243.000  *
274    10.00    1.550   24.494     2.45         47.0154        -        -        -   27.000  
275    10.00    1.550   25.916     2.59         50.8852        -        -        -   27.000  
276    85.00   13.175  -42.343    -0.50         -0.9955   0.0022  458.637  -42.534 -229.500  *
277    85.00   13.175  -36.398    -0.43         -0.9855   0.0063  528.174  -36.934 -229.500  *
278    15.00    2.325   32.474     2.16         24.4301        -        -        -   40.500  
279    10.00    1.550   25.933     2.59         44.9228        -        -        -   27.000  
280    70.00   10.850  -32.497    -0.46         -0.9891   0.0051  402.689  -32.854 -189.000  *
281    95.00   14.725  -50.039    -0.53         -0.9571   0.0236  466.074  -52.282 -256.500  *
282     5.00    0.775   10.032     2.01         59.6525        -        -        -   13.500  
283    10.00    1.550   22.860     2.29         34.7900        -        -        -   27.000  
284    65.00   10.075  -28.245    -0.43         -0.8724   0.0635  352.360  -32.375 -175.500  *
285    75.00   11.625  -35.138    -0.47         -0.9476   0.0259  409.563  -37.082 -202.500  *
286    15.00    2.325   16.797     1.12          9.7135        -        -        -   40.500  
287    10.00    1.550   20.154     2.02         26.8502        -        -        -   27.000  
288    55.00    8.525  -25.101    -0.46         -0.9455   0.0263  307.649  -26.548 -148.500  *
289    70.00   10.850  -36.233    -0.52         -0.9822   0.0094  358.641  -36.889 -189.000  *
290    10.00    1.550   10.168     1.02         11.5550        -        -        -   27.000  
291    30.00    4.650   39.603     1.32          5.1197        -        -        -   81.000  
292     0.25    0.039    0.003     0.01          4.6572        -        -        -    0.675  
293    65.00   10.075  -34.755    -0.53         -0.9545   0.0255  313.308  -36.410 -175.500  *
294     5.00    0.775    4.432     0.89         17.5946        -        -        -   13.500  
295    10.00    1.550   21.106     2.11         21.4332        -        -        -   27.000  
296    15.00    2.325   -2.502    -0.17         -0.9683   0.0055  235.083   -2.584  -40.500  *
297    50.00    7.750  -23.675    -0.47         -0.9595   0.0200  273.563  -24.674 -135.000  *
298     0.25    0.039    0.099     0.40        137.6701        -        -        -    0.675  
299    10.00    1.550   15.771     1.58         14.0102        -        -        -   27.000  
300     0.25    0.039    0.096     0.39        118.4580        -        -        -    0.675  
301    40.00    6.200  -15.572    -0.39         -0.8630   0.0618  239.407  -18.045 -108.000  *
302     0.25    0.039    0.075     0.30         92.4412        -        -        -    0.675  
303     5.00    0.775    6.633     1.33         20.7473        -        -        -   13.500  
304     5.00    0.775   -0.312    -0.06         -0.8550   0.0106  184.990   -0.365  -13.500  *
305    25.00    3.875   -6.833    -0.27         -0.8537   0.0468  210.840   -8.004  -67.500  *
306     0.25    0.039    0.120     0.48        131.9501        -        -        -    0.675  
307     5.00    0.775    1.807     0.36          5.0332        -        -        -   13.500  
308     0.25    0.039    0.050     0.20         49.4500        -        -        -    0.675  
309    10.00    1.550   -1.307    -0.13         -0.9097   0.0130  187.862   -1.437  -27.000  *
310     1.00    0.155    0.422     0.42         26.3230        -        -        -    2.700  
311   550.00   85.250 1417.626     2.58          0.7509        -        -        - 1485.000  
312   500.00   77.500 -1312.140    -2.62         -0.8410   0.4962  432.623 -1560.251 -1350.000  
313    10.00    1.550   10.764     1.08         19.5370        -        -        -   27.000  
314   150.00   23.250 -123.043    -0.82         -0.9926   0.0061  490.097 -123.955 -405.000  *



 i 	 d
==================
0	-1.05E-001
1	1.41E+000
2	3.94E+000
3	-4.21E-001
4	-1.01E+000
5	4.32E+000
6	6.64E-002
7	2.00E+000
8	9.49E+000
9	-1.03E+000
10	-1.24E+000
11	9.83E+000
12	1.11E-001
13	2.69E+000
14	1.74E+001
15	-1.31E+000
16	-1.73E+000
17	1.76E+001
18	7.41E-002
19	3.35E+000
20	2.77E+001
21	-1.96E+000
22	-1.82E+000
23	2.80E+001
24	4.99E-002
25	4.00E+000
26	4.07E+001
27	-2.61E+000
28	-1.89E+000
29	4.10E+001
30	1.03E-001
31	4.47E+000
32	5.65E+001
33	-3.53E+000
34	-1.74E+000
35	5.67E+001
36	-2.85E-002
37	5.05E+000
38	7.52E+001
39	-4.62E+000
40	-1.31E+000
41	7.53E+001
42	-2.44E-001
43	5.67E+000
44	9.70E+001
45	-5.76E+000
46	-7.98E-001
47	9.73E+001
48	-5.26E-001
49	6.18E+000
50	1.22E+002
51	-7.10E+000
52	-6.27E-002
53	1.22E+002
54	-1.11E+000
55	6.86E+000
56	1.51E+002
57	-8.40E+000
58	6.72E-001
59	1.51E+002
60	-1.94E+000
61	7.66E+000
62	1.84E+002
63	-9.85E+000
64	1.78E+000
65	1.84E+002
66	-3.07E+000
67	8.64E+000
68	2.20E+002
69	-1.12E+001
70	2.85E+000
71	2.20E+002
72	-4.42E+000
73	9.80E+000
74	2.61E+002
75	-1.26E+001
76	4.27E+000
77	2.61E+002
78	-6.17E+000
79	1.12E+001
80	3.07E+002
81	-1.41E+001
82	5.75E+000
83	3.07E+002
84	-7.80E+000
85	1.24E+001
86	3.57E+002
87	-1.54E+001
88	7.33E+000
89	3.57E+002
90	-9.82E+000
91	1.37E+001
92	4.13E+002
93	-1.67E+001
94	9.11E+000
95	4.13E+002
96	-1.20E+001
97	1.47E+001
98	4.74E+002
99	-1.78E+001
100	1.10E+001
101	4.74E+002
102	-1.45E+001
103	1.57E+001
104	5.36E+002
105	-1.88E+001
106	1.30E+001
107	5.36E+002
108	0.00E+000
109	0.00E+000
110	0.00E+000
111	0.00E+000
112	0.00E+000
113	0.00E+000
114	-1.78E-001
115	7.83E-001
116	3.31E+000
117	-1.37E-001
118	-5.37E-001
119	3.48E+000
120	-3.64E-002
121	1.45E+000
122	1.09E+001
123	-5.24E-001
124	-7.40E-001
125	1.11E+001
126	-2.19E-001
127	2.10E+000
128	2.21E+001
129	-1.06E+000
130	-7.43E-001
131	2.21E+001
132	-2.36E-001
133	2.76E+000
134	3.59E+001
135	-1.66E+000
136	-6.30E-001
137	3.59E+001
138	-2.84E-001
139	3.46E+000
140	5.46E+001
141	-2.23E+000
142	-4.48E-001
